date,ticker,day_return,bucket,volume_ratio
2018-03-05,PHOENIXLTD.NS,7.43,7-10%,
2018-03-08,TRENT.NS,7.35,7-10%,
2018-03-12,JPPOWER.NS,19.42,15%+,
2018-03-13,BANKBARODA.NS,7.15,7-10%,
2018-03-13,JPPOWER.NS,10.57,10-15%,
2018-03-15,HINDCOPPER.NS,12.78,10-15%,
2018-03-16,PATANJALI.NS,10.15,10-15%,
2018-03-26,ADANIENT.NS,7.41,7-10%,
2018-03-26,CANBK.NS,10.52,10-15%,
2018-03-26,CESC.NS,8.28,7-10%,
2018-03-27,SOBHA.NS,7.81,7-10%,
2018-03-27,BIRLACORPN.NS,7.08,7-10%,
2018-04-02,TATACONSUM.NS,7.03,7-10%,2.13
2018-04-02,ESCORTS.NS,7.87,7-10%,3.1
2018-04-02,TANLA.NS,9.49,7-10%,1.02
2018-04-02,ELGIEQUIP.NS,8.79,7-10%,1.39
2018-04-02,RADICO.NS,7.57,7-10%,1.21
2018-04-02,BRIGADE.NS,7.27,7-10%,0.48
2018-04-03,TANLA.NS,7.77,7-10%,2.08
2018-04-04,RPOWER.NS,11.56,10-15%,5.58
2018-04-05,ADANIENT.NS,14.95,10-15%,1.6
2018-04-05,CANBK.NS,7.85,7-10%,0.8
2018-04-06,SOBHA.NS,7.74,7-10%,7.11
2018-04-19,HINDALCO.NS,9.04,7-10%,2.23
2018-04-19,VEDL.NS,7.08,7-10%,2.38
2018-04-19,NATIONALUM.NS,8.86,7-10%,4.95
2018-04-19,HINDCOPPER.NS,11.76,10-15%,7.62
2018-04-19,RADICO.NS,10.22,10-15%,2.94
2018-04-23,OBEROIRLTY.NS,10.72,10-15%,5.02
2018-04-24,ICICIPRULI.NS,7.66,7-10%,8.86
2018-04-25,COFORGE.NS,9.16,7-10%,3.39
2018-04-25,ELGIEQUIP.NS,7.84,7-10%,1.08
2018-04-25,BRIGADE.NS,8.11,7-10%,9.71
2018-04-27,AXISBANK.NS,9.21,7-10%,5.66
2018-05-07,IFBIND.NS,7.87,7-10%,7.61
2018-05-07,JPPOWER.NS,18.06,15%+,1.97
2018-05-11,MAHLIFE.NS,11.02,10-15%,8.63
2018-05-15,MPHASIS.NS,9.55,7-10%,1.1
2018-05-15,LALPATHLAB.NS,9.99,7-10%,12.24
2018-05-17,BAJFINANCE.NS,7.63,7-10%,5.63
2018-05-17,JYOTHYLAB.NS,20.0,15%+,14.52
2018-05-17,RADICO.NS,7.76,7-10%,1.57
2018-05-17,PATANJALI.NS,7.73,7-10%,0.71
2018-05-17,PETRONET.NS,7.63,7-10%,4.38
2018-05-17,TCI.NS,7.82,7-10%,5.79
2018-05-22,PATANJALI.NS,9.74,7-10%,0.52
2018-05-23,PATANJALI.NS,9.35,7-10%,0.67
2018-05-24,PATANJALI.NS,8.97,7-10%,1.3
2018-05-25,GMMPFAUDLR.NS,8.28,7-10%,1.71
2018-05-28,SUNPHARMA.NS,7.13,7-10%,2.74
2018-05-29,RADICO.NS,7.02,7-10%,3.0
2018-05-29,PATANJALI.NS,8.68,7-10%,1.87
2018-05-30,PATANJALI.NS,9.89,7-10%,1.02
2018-05-31,SUNDRMFAST.NS,7.8,7-10%,5.87
2018-06-06,WELCORP.NS,8.2,7-10%,2.29
2018-06-06,JPPOWER.NS,16.13,15%+,2.48
2018-06-07,GODREJPROP.NS,8.45,7-10%,3.06
2018-06-07,PRESTIGE.NS,9.38,7-10%,2.88
2018-06-07,ORIENTELEC.NS,7.06,7-10%,
2018-06-07,IFBIND.NS,12.23,10-15%,1.37
2018-06-07,BRIGADE.NS,7.57,7-10%,0.67
2018-06-07,DEEPAKNTR.NS,7.06,7-10%,1.81
2018-06-08,SUNPHARMA.NS,8.08,7-10%,3.9
2018-06-11,GRINDWELL.NS,10.97,10-15%,2.61
2018-06-19,MAHLIFE.NS,12.46,10-15%,11.72
2018-06-26,PRESTIGE.NS,7.84,7-10%,2.2
2018-06-28,IFBIND.NS,10.83,10-15%,2.83
