date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,clv,imom,gap,atr_ratio,d52w,pre_rng,score_clv,score_imom,score_gap,score_atr,score_d52w,score_prng,intraday_score,structure
2018-03-05,PHOENIXLTD.NS,7.43,7-10%,,0.19,7.69,4.46,flat,continuation,continuation,0.835,0.759,-0.83,,,,0,1,1,0,0,0,2,weak
2018-03-08,TRENT.NS,7.35,7-10%,,-0.03,4.98,5.19,flat,continuation,continuation,0.776,0.675,0.89,,,,0,0,1,0,0,0,1,weak
2018-03-12,JPPOWER.NS,19.42,15%+,,10.57,2.44,-8.94,continuation,flat,reversal,1.0,0.95,0.97,,,5.67,1,1,1,0,0,0,3,mixed
2018-03-13,BANKBARODA.NS,7.15,7-10%,,2.97,1.59,-4.03,flat,flat,reversal,0.792,0.709,0.04,,,1.05,0,1,1,0,0,0,2,weak
2018-03-13,JPPOWER.NS,10.57,10-15%,,-2.94,-9.56,-23.53,reversal,reversal,reversal,0.625,0.5,0.81,,,7.47,0,0,1,0,0,0,1,weak
2018-03-15,HINDCOPPER.NS,12.78,10-15%,,-3.3,-9.51,-10.86,reversal,reversal,reversal,0.841,0.841,1.14,,,1.26,0,1,1,0,0,0,2,weak
2018-03-16,PATANJALI.NS,10.15,10-15%,,-4.07,-2.17,-8.94,reversal,reversal,reversal,0.519,0.519,1.79,,,0.62,0,0,1,0,0,0,1,weak
2018-03-26,ADANIENT.NS,7.41,7-10%,,-2.35,-1.74,-7.51,reversal,flat,reversal,0.839,0.726,0.03,,,2.17,0,1,1,0,0,0,2,weak
2018-03-26,CANBK.NS,10.52,10-15%,,-0.63,-2.29,-2.96,flat,reversal,reversal,0.867,0.769,0.27,,,2.46,0,1,1,0,0,0,2,weak
2018-03-26,CESC.NS,8.28,7-10%,,1.97,3.46,2.36,flat,continuation,flat,0.905,0.781,0.0,,,1.7,1,1,1,0,0,0,3,mixed
2018-03-27,SOBHA.NS,7.81,7-10%,,-0.72,-0.2,-0.55,flat,flat,flat,0.875,0.795,0.71,,,1.69,0,1,1,0,0,0,2,weak
2018-03-27,BIRLACORPN.NS,7.08,7-10%,,-2.62,3.08,7.69,reversal,continuation,continuation,0.875,0.875,0.66,,,3.7,0,1,1,0,0,0,2,weak
2018-04-02,TATACONSUM.NS,7.03,7-10%,2.13,-0.78,-1.43,0.31,flat,flat,flat,0.924,0.924,0.23,,,0.88,1,1,1,0,0,0,3,mixed
2018-04-02,ESCORTS.NS,7.87,7-10%,3.1,0.32,1.07,2.53,flat,flat,flat,0.939,0.896,1.3,,,1.23,1,1,1,0,0,0,3,mixed
2018-04-02,TANLA.NS,9.49,7-10%,1.02,7.77,10.61,16.89,continuation,continuation,continuation,0.917,0.917,0.49,,,2.9,1,1,1,0,0,0,3,mixed
2018-04-02,ELGIEQUIP.NS,8.79,7-10%,1.39,4.24,2.08,2.86,continuation,flat,flat,0.837,0.612,3.82,,,1.46,0,0,1,0,0,0,1,weak
2018-04-02,RADICO.NS,7.57,7-10%,1.21,-1.27,2.21,3.74,flat,flat,continuation,0.846,0.831,0.75,,,1.56,0,1,1,0,0,0,2,weak
2018-04-02,BRIGADE.NS,7.27,7-10%,0.48,0.53,-1.61,-0.97,flat,flat,flat,0.795,0.795,0.14,,,1.6,0,1,1,0,0,0,2,weak
2018-04-03,TANLA.NS,7.77,7-10%,2.08,0.55,7.91,2.5,flat,continuation,flat,0.929,0.786,1.2,1.47,2.3,3.45,1,1,1,1,1,0,5,strong
2018-04-04,RPOWER.NS,11.56,10-15%,5.58,0.47,-1.88,-2.94,flat,flat,reversal,0.75,0.741,0.26,3.48,6.29,1.85,0,1,1,0,1,0,3,mixed
2018-04-05,ADANIENT.NS,14.95,10-15%,1.6,1.29,-0.07,-7.95,flat,flat,reversal,0.809,0.556,3.41,2.81,15.77,2.47,0,0,1,1,0,0,2,weak
2018-04-05,CANBK.NS,7.85,7-10%,0.8,0.99,1.5,-1.8,flat,flat,flat,0.699,0.658,1.71,1.6,5.54,1.0,0,0,1,1,1,0,3,mixed
2018-04-06,SOBHA.NS,7.74,7-10%,7.11,0.59,-0.18,0.27,flat,flat,flat,0.394,-0.066,8.08,1.23,3.08,1.16,0,0,0,1,1,0,2,weak
2018-04-19,HINDALCO.NS,9.04,7-10%,2.23,-1.0,-10.58,-11.61,flat,reversal,reversal,0.837,0.789,2.97,2.29,-7.19,1.4,0,1,1,1,1,0,4,mixed
2018-04-19,VEDL.NS,7.08,7-10%,2.38,-0.99,-4.59,-6.87,flat,reversal,reversal,0.893,0.893,1.94,1.62,-0.35,0.41,0,1,1,1,1,1,5,strong
2018-04-19,NATIONALUM.NS,8.86,7-10%,4.95,-1.38,-9.91,-8.94,flat,reversal,reversal,0.585,0.472,4.68,2.53,-8.12,1.74,0,0,1,1,1,0,3,mixed
2018-04-19,HINDCOPPER.NS,11.76,10-15%,7.62,-3.45,-6.45,-6.7,reversal,reversal,reversal,0.762,0.73,2.1,3.4,-5.49,0.92,0,1,1,0,1,0,3,mixed
2018-04-19,RADICO.NS,10.22,10-15%,2.94,3.62,2.81,-1.16,continuation,flat,flat,0.878,0.847,0.35,3.0,-6.81,0.57,0,1,1,0,1,0,3,mixed
2018-04-23,OBEROIRLTY.NS,10.72,10-15%,5.02,-1.75,-4.57,-4.79,flat,reversal,reversal,0.775,0.775,0.89,3.49,-2.81,0.61,0,1,1,0,1,0,3,mixed
2018-04-24,ICICIPRULI.NS,7.66,7-10%,8.86,4.83,3.6,3.81,continuation,continuation,continuation,0.741,0.557,0.01,4.72,-0.53,1.22,0,0,1,0,1,0,2,weak
2018-04-25,COFORGE.NS,9.16,7-10%,3.39,5.74,6.86,-2.52,continuation,continuation,reversal,0.873,0.855,-0.62,3.1,0.1,4.12,0,1,1,0,1,0,3,mixed
2018-04-25,ELGIEQUIP.NS,7.84,7-10%,1.08,0.43,2.01,0.63,flat,flat,flat,0.848,0.846,0.31,1.59,14.34,1.08,0,1,1,1,0,0,3,mixed
2018-04-25,BRIGADE.NS,8.11,7-10%,9.71,-3.19,0.45,-1.85,reversal,flat,flat,0.451,0.357,0.96,5.63,2.37,1.8,0,0,1,0,1,0,2,weak
2018-04-27,AXISBANK.NS,9.21,7-10%,5.66,-4.06,-1.08,-0.57,reversal,flat,flat,0.937,0.937,-2.53,4.11,2.94,0.98,1,1,1,0,1,0,4,mixed
2018-05-07,IFBIND.NS,7.87,7-10%,7.61,1.14,3.91,1.06,flat,continuation,flat,0.579,0.484,0.63,4.57,9.78,1.17,0,0,1,0,1,0,2,weak
2018-05-07,JPPOWER.NS,18.06,15%+,1.97,-2.35,-8.24,-11.76,reversal,reversal,reversal,0.929,0.857,1.39,3.29,41.38,2.32,1,1,1,0,0,0,3,mixed
2018-05-11,MAHLIFE.NS,11.02,10-15%,8.63,-0.45,0.77,1.45,flat,flat,flat,0.806,0.748,0.15,5.83,-7.2,0.51,0,1,1,0,1,0,3,mixed
