date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio_x,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope,event_type,kmeans_cluster,entry_price,trader_ret_3d,trader_ret_5d,trader_label_3d,trader_label_5d,clv,imom,atr_ratio_y,structure,intraday_score,event_gap,intraday_move,is_intraday_squeeze,atr_ratio_event,vol_ratio_event,vol_sweet_spot,consec_up_days,is_early_move,body_ratio,upper_wick_ratio,lower_wick_ratio,target_hit,stop_hit
2018-03-05,PHOENIXLTD.NS,7.43,7-10%,,0.19,7.69,4.46,flat,continuation,continuation,,,,,,,,,,,,,,,,,,,E_Mixed,3,320.6294860839844,7.49,4.26,profit,profit,0.835,0.759,,weak,2,,,,,,,,,,,,True,True
2018-03-08,TRENT.NS,7.35,7-10%,,-0.03,4.98,5.19,flat,continuation,continuation,,,,,,,,,,,,,,,,,,,E_Mixed,3,329.5375061035156,5.02,5.23,profit,profit,0.776,0.675,,weak,1,,,,,,,,,,,,True,False
2018-03-12,JPPOWER.NS,19.42,15%+,,10.57,2.44,-8.94,continuation,flat,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,6.800000190734863,-7.35,-17.65,loss,loss,1.0,0.95,,mixed,3,,,,,,,,,,,,True,False
2018-03-13,BANKBARODA.NS,7.15,7-10%,,2.97,1.59,-4.03,flat,flat,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,125.16143798828124,-1.34,-6.79,loss,loss,0.792,0.709,,weak,2,,,,,,,,,,,,True,True
2018-03-13,JPPOWER.NS,10.57,10-15%,,-2.94,-9.56,-23.53,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,6.599999904632568,-6.82,-21.21,loss,loss,0.625,0.5,,weak,1,,,,,,,,,,,,False,True
2018-03-15,HINDCOPPER.NS,12.78,10-15%,,-3.3,-9.51,-10.86,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,68.37203216552734,-6.42,-7.81,loss,loss,0.841,0.841,,weak,2,,,,,,,,,,,,False,True
2018-03-16,PATANJALI.NS,10.15,10-15%,,-4.07,-2.17,-8.94,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,575.5973510742188,1.98,-5.08,profit,loss,0.519,0.519,,weak,1,,,,,,,,,,,,False,True
2018-03-26,ADANIENT.NS,7.41,7-10%,,-2.35,-1.74,-7.51,reversal,flat,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,85.75142669677734,0.63,-5.28,flat,loss,0.839,0.726,,weak,2,,,,,,,,,,,,False,True
2018-03-26,CANBK.NS,10.52,10-15%,,-0.63,-2.29,-2.96,flat,reversal,reversal,,,,,,,,,,,,,,,,,,,E_Mixed,3,45.50071334838867,-1.67,-2.34,loss,loss,0.867,0.769,,weak,2,,,,,,,,,,,,False,True
2018-03-26,CESC.NS,8.28,7-10%,,1.97,3.46,2.36,flat,continuation,flat,,,,,,,,,,,,,,,,,,,E_Mixed,3,63.09318542480469,1.46,0.38,profit,flat,0.905,0.781,,mixed,3,,,,,,,,,,,,True,False
