date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope
2018-03-05,PHOENIXLTD.NS,7.43,7-10%,,0.19,7.69,4.46,flat,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-03-08,TRENT.NS,7.35,7-10%,,-0.03,4.98,5.19,flat,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-03-12,JPPOWER.NS,19.42,15%+,,10.57,2.44,-8.94,continuation,flat,reversal,,,,,,,,,,,,,,,,,,
2018-03-13,BANKBARODA.NS,7.15,7-10%,,2.97,1.59,-4.03,flat,flat,reversal,,,,,,,,,,,,,,,,,,
2018-03-13,JPPOWER.NS,10.57,10-15%,,-2.94,-9.56,-23.53,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-03-15,HINDCOPPER.NS,12.78,10-15%,,-3.3,-9.51,-10.86,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-03-16,PATANJALI.NS,10.15,10-15%,,-4.07,-2.17,-8.94,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-03-26,ADANIENT.NS,7.41,7-10%,,-2.35,-1.74,-7.51,reversal,flat,reversal,,,,,,,,,,,,,,,,,,
2018-03-26,CANBK.NS,10.52,10-15%,,-0.63,-2.29,-2.96,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-03-26,CESC.NS,8.28,7-10%,,1.97,3.46,2.36,flat,continuation,flat,,,,,,,,,,,,,,,,,,
2018-03-27,SOBHA.NS,7.81,7-10%,,-0.72,-0.2,-0.55,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-03-27,BIRLACORPN.NS,7.08,7-10%,,-2.62,3.08,7.69,reversal,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-04-02,BRIGADE.NS,7.27,7-10%,0.48,0.53,-1.61,-0.97,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-02,RADICO.NS,7.57,7-10%,1.21,-1.27,2.21,3.74,flat,flat,continuation,,,,,,,,,,,,,,,,,,
2018-04-02,ELGIEQUIP.NS,8.79,7-10%,1.39,4.24,2.08,2.86,continuation,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-02,TATACONSUM.NS,7.03,7-10%,2.13,-0.78,-1.43,0.31,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-02,ESCORTS.NS,7.87,7-10%,3.1,0.32,1.07,2.53,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-02,TANLA.NS,9.49,7-10%,1.02,7.77,10.61,16.89,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-04-03,TANLA.NS,7.77,7-10%,2.08,0.55,7.91,2.5,flat,continuation,flat,,,,,,,,,,,,,,,,,,
2018-04-04,RPOWER.NS,11.56,10-15%,5.58,0.47,-1.88,-2.94,flat,flat,reversal,,,,,,,,,,,,,,,,,,
2018-04-05,ADANIENT.NS,14.95,10-15%,1.6,1.29,-0.07,-7.95,flat,flat,reversal,,,,,,,,,,,,,,,,,,
2018-04-05,CANBK.NS,7.85,7-10%,0.8,0.99,1.5,-1.8,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-06,SOBHA.NS,7.74,7-10%,7.11,0.59,-0.18,0.27,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-19,RADICO.NS,10.22,10-15%,2.94,3.62,2.81,-1.16,continuation,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-19,HINDCOPPER.NS,11.76,10-15%,7.62,-3.45,-6.45,-6.7,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-04-19,NATIONALUM.NS,8.86,7-10%,4.95,-1.38,-9.91,-8.94,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-04-19,VEDL.NS,7.08,7-10%,2.38,-0.99,-4.59,-6.87,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-04-19,HINDALCO.NS,9.04,7-10%,2.23,-1.0,-10.58,-11.61,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-04-23,OBEROIRLTY.NS,10.72,10-15%,5.02,-1.75,-4.57,-4.79,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-04-24,ICICIPRULI.NS,7.66,7-10%,8.86,4.83,3.6,3.81,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-04-25,COFORGE.NS,9.16,7-10%,3.39,5.74,6.86,-2.52,continuation,continuation,reversal,,,,,,,,,,,,,,,,,,
2018-04-25,ELGIEQUIP.NS,7.84,7-10%,1.08,0.43,2.01,0.63,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-25,BRIGADE.NS,8.11,7-10%,9.71,-3.19,0.45,-1.85,reversal,flat,flat,,,,,,,,,,,,,,,,,,
2018-04-27,AXISBANK.NS,9.21,7-10%,5.66,-4.06,-1.08,-0.57,reversal,flat,flat,,,,,,,,,,,,,,,,,,
2018-05-07,IFBIND.NS,7.87,7-10%,7.61,1.14,3.91,1.06,flat,continuation,flat,,,,,,,,,,,,,,,,,,
2018-05-07,JPPOWER.NS,18.06,15%+,1.97,-2.35,-8.24,-11.76,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-05-11,MAHLIFE.NS,11.02,10-15%,8.63,-0.45,0.77,1.45,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-05-15,LALPATHLAB.NS,9.99,7-10%,12.24,0.23,-2.29,-1.44,flat,reversal,flat,,,,,,,,,,,,,,,,,,
2018-05-15,MPHASIS.NS,9.55,7-10%,1.1,1.93,4.58,-1.34,flat,continuation,flat,,,,,,,,,,,,,,,,,,
2018-05-17,BAJFINANCE.NS,7.63,7-10%,5.63,4.02,4.01,1.37,continuation,continuation,flat,,,,,,,,,,,,,,,,,,
2018-05-17,JYOTHYLAB.NS,20.0,15%+,14.52,-6.68,-8.05,-11.42,reversal,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-05-17,RADICO.NS,7.76,7-10%,1.57,-6.88,-2.88,-1.94,reversal,reversal,flat,,,,,,,,,,,,,,,,,,
2018-05-17,PATANJALI.NS,7.73,7-10%,0.71,-3.35,2.39,22.01,reversal,flat,continuation,,,,,,,,,,,,,,,,,,
2018-05-17,PETRONET.NS,7.63,7-10%,4.38,0.05,-3.5,-3.59,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-05-17,TCI.NS,7.82,7-10%,5.79,-1.97,-6.69,-6.76,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-05-22,PATANJALI.NS,9.74,7-10%,0.52,9.35,15.89,22.9,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-05-23,PATANJALI.NS,9.35,7-10%,0.67,8.97,3.42,23.5,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-05-24,PATANJALI.NS,8.97,7-10%,1.3,-2.75,3.14,15.69,reversal,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-05-25,GMMPFAUDLR.NS,8.28,7-10%,1.71,6.39,1.83,-5.81,continuation,flat,reversal,,,,,,,,,,,,,,,,,,
2018-05-28,SUNPHARMA.NS,7.13,7-10%,2.74,-0.04,-3.87,-4.22,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-05-29,PATANJALI.NS,8.68,7-10%,1.87,9.89,17.11,13.31,continuation,continuation,continuation,,,,,,,,,,,,,,,,,,
2018-05-29,RADICO.NS,7.02,7-10%,3.0,1.07,-7.09,-16.14,flat,reversal,reversal,,,,,,,,,,,,,,,,,,
2018-05-30,PATANJALI.NS,9.89,7-10%,1.02,2.08,8.3,-1.73,flat,continuation,flat,8.68,12.39,2.73,-28.14,36.747,47.479,0.774,8.1,1.0,0.99,11.266,1.0,33.42,38.42,0.0,9.81,-10.82,-4.847
2018-05-31,SUNDRMFAST.NS,7.8,7-10%,5.87,-1.9,-6.27,-3.23,flat,reversal,reversal,2.01,2.2,1.26,5.49,10.769,14.061,0.766,1.98,8.06,0.42,0.538,19.22,8.15,8.14,27.0,0.51,1.0,-0.276
2018-06-06,WELCORP.NS,8.2,7-10%,2.29,1.59,3.26,2.08,flat,continuation,flat,-6.3,-12.01,-14.86,-26.42,6.509,5.307,1.226,5.85,2.4,1.3,8.693,1.85,32.2,5.17,0.0,-9.62,-12.43,-2.21
2018-06-06,JPPOWER.NS,16.13,15%+,2.48,-5.56,-1.39,-6.94,reversal,flat,reversal,-4.62,-12.68,-23.46,-39.81,0.18,0.183,0.986,5.47,2.66,1.01,6.656,2.64,57.24,1.64,0.0,-14.19,-24.22,-3.344
2018-06-07,GODREJPROP.NS,8.45,7-10%,3.06,0.29,-2.3,-2.41,flat,reversal,reversal,2.81,-0.66,-16.12,-1.36,23.75,28.145,0.844,3.3,3.46,0.88,-5.949,3.93,21.07,4.38,10.0,-4.59,-5.24,-3.453
2018-06-07,PRESTIGE.NS,9.38,7-10%,2.88,1.63,2.39,7.87,flat,flat,continuation,1.11,-6.03,-20.85,-23.29,15.666,10.988,1.426,6.83,3.31,1.81,20.008,1.82,31.86,5.05,3.0,-12.48,-18.47,-4.222
2018-06-07,ORIENTELEC.NS,7.06,7-10%,,-0.27,1.26,-0.08,flat,flat,flat,,,,,,,,,,,,,,,,,,
2018-06-07,IFBIND.NS,12.23,10-15%,1.37,2.41,1.93,1.92,flat,flat,flat,-0.99,-16.35,-18.2,-17.06,85.67,69.097,1.24,7.16,1.44,1.34,4.952,1.08,23.32,2.95,1.0,-15.03,-11.47,-1.86
2018-06-07,BRIGADE.NS,7.57,7-10%,0.67,-1.13,1.47,-1.53,flat,flat,flat,0.15,-5.75,-11.29,-15.5,7.341,6.882,1.067,4.86,0.69,1.77,30.589,0.39,25.21,3.17,2.0,-6.63,-9.51,-2.532
2018-06-07,DEEPAKNTR.NS,7.06,7-10%,1.81,-1.65,2.25,0.95,flat,flat,flat,2.6,-7.21,-11.24,-3.98,11.245,8.607,1.307,5.09,1.85,1.13,9.079,1.64,19.62,5.13,2.0,-7.47,-10.05,-2.198
2018-06-08,SUNPHARMA.NS,8.08,7-10%,3.9,1.41,3.42,8.15,flat,continuation,continuation,-0.22,0.91,3.54,-6.6,12.04,17.03,0.707,2.69,4.47,0.5,-14.069,9.03,13.19,12.36,1.0,2.91,-1.76,-1.019
2018-06-11,GRINDWELL.NS,10.97,10-15%,2.61,-3.22,-3.1,-5.53,reversal,reversal,reversal,-1.19,-0.5,-6.56,-0.22,10.365,13.71,0.756,2.24,2.97,0.85,-6.492,3.49,8.98,3.09,9.0,-1.78,-3.07,-1.191
2018-06-19,MAHLIFE.NS,12.46,10-15%,11.72,-1.18,-5.45,-11.3,flat,reversal,reversal,0.3,4.26,8.63,34.32,6.31,5.65,1.117,3.54,27.21,1.48,18.596,18.32,2.57,43.57,1.0,6.26,14.82,1.305
